id,nombre_torneo,A̱o,Campeon
0,Nacional 1971 ,1971,Independiente
1,Nacional 1967 ,1967,Independiente
2,Torneo Apertura 1998 ,1998,Boca Juniors
3,Torneo Clausura 2002 ,2002,River Plate
4,Torneo Nacional 1984 ,1984,Ferro
5,Torneo Inicial 2012 ,2012,Velez
6,Campeonato 1938 ,1938,Independiente
7,Campeonato 1933 ,1933,San Lorenzo
8,Nacional 1973 ,1973,Rosario Central
9,Metropolitano 1979 ,1979,River Plate
10,Campeonato 1951 ,1951,Racing Club
11,Campeonato 1946 ,1946,San Lorenzo
12,Metropolitano 1980 ,1980,River Plate
13,Torneo Apertura 2003 ,2003,Boca Juniors
14,Torneo Clausura 1991 ,1991,Boca Juniors
15,Campeonato 1965 ,1965,River Plate
16,Campeonato 1931 ,1931,Boca Juniors
17,Torneo Apertura 2011 ,2011,Boca Juniors
18,Torneo Nacional 1985  ,1985,Argentinos
19,Torneo Nacional 1982 ,1982,Ferro
20,Campeonato 1964 ,1964,Boca Juniors
21,Torneo Apertura 2001 ,2001,Racing Club
22,Metropolitano 1973 ,1973,Huracan
23,Torneo Clausura 1999 ,1999,Boca Juniors
24,Torneo Clausura 2012 ,2012,Arsenal
25,Torneo Apertura 2004 ,2004,Newells
26,Campeonato 1959 ,1959,San Lorenzo
27,Campeonato 2016/17 ,2016/17,Boca Juniors
28,Torneo Apertura 2000 ,2000,Boca Juniors
29,Superfinal 2013 ,2013,Velez
30,Campeonato 1987/88 ,1987/88,Newells
31,Torneo Nacional 1983 ,1983,Independiente
32,Metropolitano 1970 ,1970,Huracan
33,Metropolitano 1975 ,1975,River Plate
34,Metropolitano 1972 ,1972,San Lorenzo
35,Torneo Apertura 2002 ,2002,Independiente
36,Campeonato 1940 ,1940,Boca Juniors
37,Torneo Inicial 2013 ,2013,San Lorenzo
38,Torneo Apertura 1992 ,1992,Boca Juniors
39,Campeonato 1948 ,1948,Independiente
40,Nacional 1977 ,1977,Independiente
41,Campeonato 1941 ,1941,River Plate
42,Campeonato 1989/90 ,1989/90,River Plate
43,Torneo Apertura 2006 ,2006,Estudiantes (LP)
44,Metropolitano 1967 ,1967,Estudiantes (LP)
45,Torneo Clausura 2000 ,2000,River Plate
46,Torneo Apertura 1994 ,1994,River Plate
47,Campeonato 1949 ,1949,Racing Club
48,Metropolitano 1976 ,1976,Huracan
49,Torneo Clausura 1996 ,1996,Velez
50,Metropolitano 1969 ,1969,Gimnasia (LP)
51,Torneo Apertura 1991 ,1991,River Plate
52,Campeonato 1943 ,1943,River Plate
53,Torneo Final 2014 ,2014,River Plate
54,Superliga 2018/19 ,2018/19,Racing Club
55,Copa de Honor 1936 ,1936,San Lorenzo
56,Nacional 1972 ,1972,San Lorenzo
57,Nacional 1970 ,1970,Boca Juniors
58,Campeonato 1962 ,1962,Boca Juniors
59,Campeonato 1935 ,1935,Boca Juniors
60,Campeonato 1952 ,1952,River Plate
61,Torneo Clausura 2009 ,2009,Velez
62,Campeonato 1986/87  ,1986/87,Boca Juniors
63,Campeonato 1934 ,1934,Boca Juniors
64,Metropolitano 1978 ,1978,Quilmes
65,Torneo Apertura 1999 ,1999,River Plate
66,Campeonato 1961 ,1961,Racing Club
67,Campeonato 1956 ,1956,River Plate
68,Campeonato 1953 ,1953,River Plate
69,Campeonato 1936 ,1936,River Plate
70,Campeonato 1947 ,1947,River Plate
71,Campeonato 1955 ,1955,River Plate
72,Campeonato 1958 ,1958,Racing Club
73,Metropolitano 1983 ,1983,San Lorenzo
74,Campeonato 1944 ,1944,Boca Juniors
75,Campeonato 1932 ,1932,River Plate
76,Torneo de Transicion 2014 ,2014,Racing Club
77,Torneo Apertura 2005 ,2005,Boca Juniors
78,Torneo Final 2013 ,2013,Newells
79,Campeonato 1960 ,1960,Independiente
80,Torneo Clausura 2003 ,2003,River Plate
81,Metropolitano 1968 ,1968,San Lorenzo
82,Campeonato 1954 ,1954,Boca Juniors
83,Torneo Apertura 2010 ,2010,Estudiantes (LP)
84,Torneo Clausura 1993 ,1993,Velez
85,Torneo Clausura 2011 ,2011,Velez
86,Torneo Clausura 2007 ,2007,San Lorenzo
87,Metropolitano 1974 ,1974,Rosario Central
88,Nacional 1981 ,1981,Ferro
89,Campeonato 1988/89 ,1988/89,River Plate
90,Nacional 1974 ,1974,Rosario Central
91,Torneo 2016 ,2016,Lanus
92,Nacional 1980 ,1980,Racing (C)
93,Campeonato 1945 ,1945,River Plate
94,Campeonato 1990/91 ,1990/91,Newells
95,Superliga 2017/18 ,2017/18,Boca Juniors
96,Campeonato 1985/86  ,1985/86,River Plate
97,Torneo Apertura 2009 ,2009,Banfield
98,Metropolitano 1984 ,1984,Argentinos
99,Torneo Apertura 1996 ,1996,River Plate
100,Campeonato 2015 ,2015,Boca Juniors
101,Metropolitano 1977 ,1977,River Plate
102,Nacional 1978 ,1978,Independiente
103,Campeonato 1937 ,1937,River Plate
104,Torneo Clausura 2004 ,2004,River Plate
105,Metropolitano 1981 ,1981,Boca Juniors
106,Torneo Clausura 2006 ,2006,Boca Juniors
107,Torneo Apertura 1995 ,1995,Velez
108,Campeonato 1963 ,1963,Independiente
109,Campeonato 1942 ,1942,River Plate
110,Metropolitano 1971 ,1971,Independiente
111,Torneo Clausura 1997 ,1997,River Plate
112,Torneo Clausura 2010 ,2010,Argentinos
113,Torneo Apertura 1997 ,1997,River Plate
114,Campeonato 1950 ,1950,Racing Club
115,Campeonato 1957 ,1957,River Plate
116,Nacional 1968 ,1968,Velez
117,Campeonato 1939 ,1939,Independiente
118,Nacional 1976 ,1976,River Plate
119,Torneo Clausura 2005 ,2005,Velez
120,Torneo Clausura 2001 ,2001,San Lorenzo
121,Nacional 1975 ,1975,River Plate
122,Torneo Clausura 2008 ,2008,River Plate
123,Torneo Apertura 1993 ,1993,River Plate
124,Torneo Apertura 2007 ,2007,Lanus
125,Liga 2021 ,2021,Newells
126,Torneo Clausura 1994 ,1994,Huracan
127,Superliga 2019/20 ,2019/20,Boca Juniors
128,Nacional 1969 ,1969,River Plate
129,Torneo Clausura 1992 ,1992,Newells
130,Nacional 1979 ,1979,River Plate
131,Torneo Apertura 2008 ,2008,Boca Juniors
132,Campeonato 1966 ,1966,Racing Club
133,Torneo Clausura 1995 ,1995,San Lorenzo
134,Metropolitano 1982 ,1982,Estudiantes (LP)
135,Torneo Clausura 1998 ,1998,Velez
